participant_id,scenario_code,complexity_class,scenario_index,started_at,completed_at,total_turns,total_elapsed_s,attempt_number,l1_syntax_ok,l1_api_valid,exec_pass_rate,eval_behavioral_match,eval_confidence,eval_code_correct,sandbox_all_pass,evaluator_1,evaluator_2,oracle_consensus,success
user_0045,S2,C1,3,2026-03-25T08:48:05.460261+00:00,2026-03-25T08:48:05.477128+00:00,4,111.75,1,1,1,,matches_completely,5,,,correct,correct,matches_completely,correct
user_0045,M2,C2,4,2026-03-25T08:49:39.008376+00:00,2026-03-25T08:49:39.027286+00:00,4,97.53,1,1,1,,matches_completely,5,,,correct,correct,partially,correct
user_0045,C2,C3,5,2026-03-25T08:52:08.670892+00:00,2026-03-25T08:52:08.688299+00:00,4,119.5,1,1,1,,matches_completely,5,,,correct,correct,matches_completely,correct
user_0046,S1,C1,0,2026-03-25T08:43:36.341708+00:00,2026-03-25T08:43:36.360167+00:00,8,32.06,2,1,1,,matches_completely,5,,,correct,correct,matches_completely,correct
user_0046,M1,C2,1,2026-03-25T08:51:10.693161+00:00,2026-03-25T08:51:10.710640+00:00,11,224.86,3,1,0,,matches_completely,4,,,correct,correct,matches_completely,correct
user_0046,C1,C3,2,2026-03-25T08:54:25.998920+00:00,2026-03-25T08:54:26.022072+00:00,8,72.62,2,1,0,,matches_completely,5,,,correct,correct,matches_completely,correct
user_0046,S2,C1,3,2026-03-25T08:55:17.776484+00:00,2026-03-25T08:55:17.796069+00:00,4,65.3,1,1,1,,matches_completely,5,,,correct,correct,matches_completely,correct
user_0046,M2,C2,4,2026-03-25T08:55:55.031696+00:00,2026-03-25T08:55:55.047485+00:00,4,64.67,1,1,1,,matches_completely,5,,,correct,correct,matches_completely,correct
user_0046,C2,C3,5,2026-03-25T08:56:47.687071+00:00,2026-03-25T08:56:47.702921+00:00,4,63.09,1,1,1,,matches_completely,5,,,correct,correct,matches_completely,correct
user_0047,S1,C1,0,2026-03-25T10:27:50.685279+00:00,2026-03-25T10:27:50.703378+00:00,4,98.09,1,1,1,,partially,4,,,correct,correct,matches_completely,correct
user_0047,M1,C2,1,2026-03-25T10:29:46.668496+00:00,2026-03-25T10:29:46.686764+00:00,4,20.0,1,1,1,,matches_completely,5,,,correct,correct,matches_completely,correct
user_0047,C1,C3,2,2026-03-25T10:31:56.536869+00:00,2026-03-25T10:31:56.555700+00:00,4,89.28,1,1,1,,partially,3,,,correct,incorrect,matches_completely,correct
user_0047,S2,C1,3,2026-03-25T10:38:23.312996+00:00,2026-03-25T10:38:23.330650+00:00,4,106.98,1,1,1,,matches_completely,5,,,correct,correct,matches_completely,correct
user_0047,M2,C2,4,2026-03-25T10:40:10.528642+00:00,2026-03-25T10:40:10.545246+00:00,4,90.75,1,1,1,,partially,4,,,correct,correct,partially,correct
user_0047,C2,C3,5,2026-03-25T10:42:01.895604+00:00,2026-03-25T10:42:01.913175+00:00,4,90.33,1,1,1,,partially,4,,,correct,incorrect,matches_completely,correct
user_0048,S1,C1,0,2026-03-25T08:40:51.131224+00:00,2026-03-25T08:40:51.148258+00:00,5,20.0,1,1,1,,matches_completely,4,,,correct,correct,matches_completely,correct
user_0048,M1,C2,1,2026-03-25T08:45:53.028060+00:00,2026-03-25T08:45:53.049089+00:00,14,28.97,2,1,1,,does_not_match,4,,,incorrect,incorrect,does_not_match,incorrect
user_0048,C1,C3,2,2026-03-25T08:50:43.044574+00:00,2026-03-25T08:50:43.062769+00:00,4,90.69,1,1,1,,matches_completely,5,,,correct,correct,partially,correct
user_0048,S2,C1,3,2026-03-25T08:52:41.554304+00:00,2026-03-25T08:52:41.570141+00:00,4,85.08,1,1,1,,matches_completely,5,,,correct,correct,matches_completely,correct
user_0048,M2,C2,4,2026-03-25T08:53:25.826889+00:00,2026-03-25T08:53:25.842207+00:00,4,76.25,1,1,1,,matches_completely,5,,,correct,correct,partially,correct
user_0048,C2,C3,5,2026-03-25T08:54:08.870044+00:00,2026-03-25T08:54:08.886192+00:00,4,60.78,1,1,1,,matches_completely,5,,,correct,correct,matches_completely,correct
user_0049,S1,C1,0,2026-03-25T08:45:24.548660+00:00,2026-03-25T08:45:24.566461+00:00,10,175.31,3,1,1,,partially,3,,,correct,correct,matches_completely,correct
user_0049,M1,C2,1,2026-03-25T08:49:58.498880+00:00,2026-03-25T08:49:58.516786+00:00,4,75.97,1,1,1,,matches_completely,4,,,correct,correct,matches_completely,correct
user_0049,C1,C3,2,2026-03-25T08:52:46.526075+00:00,2026-03-25T08:52:46.542348+00:00,4,59.12,1,1,1,,matches_completely,4,,,correct,correct,partially,correct
user_0049,S2,C1,3,2026-03-25T08:53:24.812103+00:00,2026-03-25T08:53:24.829528+00:00,4,53.22,1,1,1,,matches_completely,5,,,correct,correct,matches_completely,correct
user_0049,M2,C2,4,2026-03-25T08:54:20.979592+00:00,2026-03-25T08:54:20.996603+00:00,4,75.95,1,1,1,,matches_completely,4,,,correct,correct,partially,correct
user_0049,C2,C3,5,2026-03-25T08:54:53.180472+00:00,2026-03-25T08:54:53.199756+00:00,4,56.38,1,1,1,,matches_completely,4,,,correct,correct,matches_completely,correct
user_0050,S1,C1,0,2026-03-25T08:45:15.895352+00:00,2026-03-25T08:45:15.913016+00:00,4,175.56,1,1,1,,matches_completely,4,,,correct,correct,matches_completely,correct
user_0050,M1,C2,1,2026-03-25T08:57:13.289203+00:00,2026-03-25T08:57:13.311749+00:00,9,454.62,2,1,1,,partially,5,,,correct,correct,matches_completely,correct
user_0050,C1,C3,2,2026-03-25T08:58:02.533562+00:00,2026-03-25T08:58:02.550073+00:00,4,41.52,1,1,1,,matches_completely,4,,,correct,correct,matches_completely,correct
user_0050,S2,C1,3,2026-03-25T09:00:18.861057+00:00,2026-03-25T09:00:18.882155+00:00,7,70.03,2,1,1,,partially,3,,,correct,correct,matches_completely,correct
user_0050,M2,C2,4,2026-03-25T09:00:58.035650+00:00,2026-03-25T09:00:58.056315+00:00,4,65.52,1,1,1,,matches_completely,3,,,correct,correct,partially,correct
user_0050,C2,C3,5,2026-03-25T09:01:41.308919+00:00,2026-03-25T09:01:41.326304+00:00,4,67.95,1,1,1,,matches_completely,3,,,correct,correct,matches_completely,correct
user_0051,S1,C1,0,2026-03-25T10:29:32.023375+00:00,2026-03-25T10:29:32.042899+00:00,4,20.0,1,1,1,,partially,3,,,correct,correct,matches_completely,correct
user_0051,M1,C2,1,2026-03-25T10:34:52.530934+00:00,2026-03-25T10:34:52.548615+00:00,4,20.0,1,1,1,,matches_completely,4,,,correct,correct,matches_completely,correct
user_0051,C1,C3,2,2026-03-25T10:37:26.046705+00:00,2026-03-25T10:37:26.066209+00:00,4,52.19,1,1,1,,matches_completely,5,,,correct,correct,matches_completely,correct
user_0051,S2,C1,3,2026-03-25T10:40:48.157513+00:00,2026-03-25T10:40:48.173615+00:00,4,57.48,1,1,1,,partially,4,,,correct,correct,matches_completely,correct
user_0051,M2,C2,4,2026-03-25T10:41:31.329543+00:00,2026-03-25T10:41:31.348074+00:00,4,63.67,1,1,1,,matches_completely,5,,,correct,correct,partially,correct
user_0051,C2,C3,5,2026-03-25T10:43:51.523475+00:00,2026-03-25T10:43:51.541171+00:00,4,132.89,1,1,1,,matches_completely,5,,,correct,correct,matches_completely,correct
user_0055,S1,C1,0,2026-03-25T10:31:33.316323+00:00,2026-03-25T10:31:33.334392+00:00,4,294.06,1,1,1,,matches_completely,5,,,correct,correct,,correct
user_0055,M1,C2,1,2026-03-25T10:33:40.241051+00:00,2026-03-25T10:33:40.255118+00:00,4,20.0,1,1,1,,partially,4,,,correct,correct,,correct
user_0055,C1,C3,2,2026-03-25T10:40:38.962767+00:00,2026-03-25T10:40:38.983614+00:00,4,105.56,1,1,1,,matches_completely,5,,,correct,correct,,correct
user_0055,S2,C1,3,2026-03-25T10:49:16.936302+00:00,2026-03-25T10:49:16.955929+00:00,5,189.73,1,1,1,,matches_completely,3,,,correct,correct,,correct
user_0055,M2,C2,4,2026-03-25T10:50:00.288128+00:00,2026-03-25T10:50:00.304492+00:00,4,63.34,1,1,1,,matches_completely,3,,,correct,correct,,correct
user_0055,C2,C3,5,2026-03-25T10:50:46.231240+00:00,2026-03-25T10:50:46.249322+00:00,4,65.03,1,1,1,,matches_completely,3,,,correct,correct,,correct
user_0061,S1,C1,0,2026-03-25T10:27:36.978102+00:00,2026-03-25T10:27:36.997973+00:00,4,59.75,1,1,1,,matches_completely,5,,,correct,correct,,correct
user_0061,M1,C2,1,2026-03-25T10:34:27.009156+00:00,2026-03-25T10:34:27.025004+00:00,4,251.62,1,1,1,,matches_completely,5,,,correct,correct,,correct
user_0061,C1,C3,2,2026-03-25T10:42:38.048891+00:00,2026-03-25T10:42:38.065400+00:00,4,56.88,1,1,1,,matches_completely,5,,,correct,correct,,correct
user_0061,S2,C1,3,2026-03-25T10:50:49.965159+00:00,2026-03-25T10:50:49.982514+00:00,4,157.62,1,1,1,,matches_completely,4,,,correct,correct,,correct
user_0061,M2,C2,4,2026-03-25T10:52:06.638590+00:00,2026-03-25T10:52:06.654389+00:00,4,88.98,1,1,1,,matches_completely,5,,,correct,correct,,correct
user_0061,C2,C3,5,2026-03-25T10:54:10.206630+00:00,2026-03-25T10:54:10.226530+00:00,4,122.41,1,1,1,,matches_completely,4,,,correct,correct,,correct
user_0065,S1,C1,0,2026-03-25T21:10:30.325426+00:00,2026-03-25T21:10:30.340961+00:00,5,39.44,1,1,1,,matches_completely,5,,,correct,correct,,correct
